name,platform,metric,value,period_start,period_end
Ciro Gomes,facebook,fans,976312.0,,
Eduardo Bolsonaro,facebook,fans,3190214.0,,
Eduardo Leite,facebook,fans,390748.633388537,,
Fernando Haddad,facebook,fans,1849336.0,,
Jair Bolsonaro,facebook,fans,14894708.0,,
Lula,facebook,fans,3523875.2739650602,,
Michelle Bolsonaro,facebook,fans,0.0,,
Ratinho Junior,facebook,fans,841147.0,,
Romeu Zema,facebook,fans,563860.0,,
Ronaldo Caiado,facebook,fans,477961.18350721715,,
Tarcísio de Freitas ,facebook,fans,923997.0,,
Ciro Gomes,facebook,posts,3.0,,
Eduardo Bolsonaro,facebook,posts,27.40432974951907,,
Eduardo Leite,facebook,posts,59.0,,
Fernando Haddad,facebook,posts,5.216514450542368,,
Jair Bolsonaro,facebook,posts,73.07784887724782,,
Lula,facebook,posts,138.0,,
Michelle Bolsonaro,facebook,posts,0.0,,
Ratinho Junior,facebook,posts,36.71488506143089,,
Romeu Zema,facebook,posts,33.0,,
Ronaldo Caiado,facebook,posts,63.0,,
Tarcísio de Freitas ,facebook,posts,14.866740920810571,,
Ciro Gomes,facebook,likes,562.2542558672844,,
Eduardo Bolsonaro,facebook,likes,107140.48674168959,,
Eduardo Leite,facebook,likes,36848.0,,
Fernando Haddad,facebook,likes,6600.736560444974,,
Jair Bolsonaro,facebook,likes,499805.0,,
Lula,facebook,likes,222857.0,,
Michelle Bolsonaro,facebook,likes,0.0,,
Ratinho Junior,facebook,likes,24147.0,,
Romeu Zema,facebook,likes,3856.564661401286,,
Ronaldo Caiado,facebook,likes,26708.0,,
Tarcísio de Freitas ,facebook,likes,7754.384350967816,,
Ciro Gomes,facebook,comments,5909.0,,
Eduardo Bolsonaro,facebook,comments,775418.0,,
Eduardo Leite,facebook,comments,34209.062128498445,,
Fernando Haddad,facebook,comments,95378.0,,
Jair Bolsonaro,facebook,comments,3947806.0,,
Lula,facebook,comments,902674.1282410402,,
Michelle Bolsonaro,facebook,comments,0.0,,
Ratinho Junior,facebook,comments,232060.0,,
Romeu Zema,facebook,comments,255362.0,,
Ronaldo Caiado,facebook,comments,271362.84237517527,,
Tarcísio de Freitas ,facebook,comments,1097511.0,,
Ciro Gomes,facebook,shares,1267.0338677191282,,
Eduardo Bolsonaro,facebook,shares,163979.014893002,,
Eduardo Leite,facebook,shares,8834.0,,
