name,presenca_100,popularidade_100,atividade_100,engajamento_100,difusao_100,sir_final_0_100
Ciro Gomes,100.0,4.804262227284199,2.9062253467863064,2.229011631961078,1.0,14.442142246983117
Eduardo Bolsonaro,75.0,26.64201061885826,26.45884785553298,53.0941521091156,27.011505393355346,39.8961618746347
Eduardo Leite,100.0,1.0,59.579702909601494,8.047051903286164,1.8885588748008404,24.403638773416535
Fernando Haddad,100.0,12.57936416152176,8.919616366185434,18.4100012787835,7.391293715339205,23.079245118482113
Jair Bolsonaro,100.0,98.28699224656351,75.34494438921351,98.12262760126167,98.32485944771649,94.78337685934596
Lula,100.0,38.74679359922962,98.03760343794376,55.95778711506811,40.07629879433953,60.668687164973086
Michelle Bolsonaro,25.0,21.232992157046187,1.0,1.0,0.0,8.535918117691084
Ratinho Junior,100.0,1.8233180219011023,83.93347444261681,11.264269584695723,3.098016148404488,29.640550949470654
Romeu Zema,100.0,4.855503816192979,26.594531376576057,19.40546787966277,5.932044699425763,24.04038588232921
Ronaldo Caiado,100.0,2.3909880808088007,59.91301558618529,20.6444639695319,14.138855723318471,30.768140689316382
Tarcísio de Freitas ,100.0,22.697289437235504,62.17677964997154,63.58225391147934,21.224288745520234,49.44352305325024
