name,presenca_100,popularidade_100,atividade_100,engajamento_100,difusao_100,sir_final_0_100
Ciro Gomes,100.0,4.6,2.9,1.0,1.0,14.1
Eduardo Bolsonaro,75.0,26.1,26.5,53.9,27.0,40.0
Eduardo Leite,100.0,1.0,59.6,5.4,1.9,23.7
Fernando Haddad,100.0,12.1,8.9,10.2,7.4,20.6
Jair Bolsonaro,100.0,98.3,75.4,98.2,98.3,94.8
Lula,100.0,38.7,98.0,52.2,40.1,59.6
Michelle Bolsonaro,25.0,21.2,1.0,0.0,0.0,8.3
Ratinho Junior,100.0,2.3,83.9,3.3,3.1,27.5
Romeu Zema,100.0,3.5,26.6,14.1,5.9,22.2
Ronaldo Caiado,100.0,2.4,59.9,6.5,14.1,26.8
Tarcísio de Freitas ,100.0,20.9,62.2,54.8,21.2,46.6
