name,presenca_100,popularidade_100,atividade_100,engajamento_100,difusao_100,sir_final_0_100
Ciro Gomes,100.0,6.6,2.7,1.0,1.0,14.5
Eduardo Bolsonaro,75.0,22.6,55.6,51.9,46.9,47.2
Eduardo Leite,100.0,1.0,43.9,4.0,1.5,20.7
Fernando Haddad,100.0,15.0,8.4,8.6,7.1,20.8
Jair Bolsonaro,100.0,98.2,70.7,98.2,98.2,94.0
Lula,100.0,43.5,98.1,46.8,35.6,58.3
Michelle Bolsonaro,25.0,10.0,1.0,0.0,0.0,5.6
Ratinho Junior,100.0,2.8,56.4,3.3,2.4,23.1
Romeu Zema,100.0,2.2,20.4,10.9,4.9,19.8
Ronaldo Caiado,100.0,2.6,40.2,5.6,8.1,22.2
Tarcísio de Freitas ,100.0,17.4,48.8,42.4,18.5,39.6
